question,courseTopic,choiceA,choiceB,choiceC,choiceD,choiceE,numChoices,answer,level,
"double[ ][ ] values = { {1.2, 9.2, 3.2}, {-3.2, 0.6, 1.5, -1.2}, {4.3, 7.8, 4.8} } ; 
what is in values[2][1] ?",2D_Arrays,4.3,7.8,-3.2,There's no such element,,4,ChoiceB,Easy,
"int[ ][ ] items = { {0, 1, 3, 4}, {4, 3, 66, 0, 7 }, {3, 2} } ; 
Which of the following statements replaces the 66 with 77?",2D_Arrays,items[1][2] = 77;,items[2][1] = 77;,items[ 66 ] = 77;,items[2][3] = 77;,None of the menotioned,5,ChoiceA,Easy,
"Assume that x, y, and z are all int equal to 50, 20, and 6 respectively.  What is the result of x / y / z?",Arithmetics,A run-time error because this is a division by 0,12,0,A syntax error as this is syntactically invalid,16,5,ChoiceC,Moderate,
"The statement i++; is equivalent to	",Arithmetics,i = i + i;,i = i + 1;,i = i - 1;,i --;,,4,ChoiceB,Easy,
"What does the following code print? 
System.out.println(1 / 3);",Arithmetics,0.333333333,0,It will give a run-time error,0.3,It will give a compile-time error,5,ChoiceA,Easy,
"What is the output of this program? 
class increment{ 
  public static void main(String args[]) { 
    int g = 3; 
    System.out.print(++g * 8); 
  }
}	",Arithmetics,24,25,32,34,None of the mentioned,5,ChoiceC,Moderate,
"What value will z have if we execute the following assignment statement? float z = 5 / 10;	",Arithmetics,z will equal 0.0,z will equal 0.5,z will equal 5.0,z will equal 0.05,"none of the above, a run-time error arises because z is a float and 5 / 10 is an int",5,ChoiceA,Easy,
"Which of the following is true regarding the mod operator, %?",Arithmetics,It can only be performed on int values and its result is a double,It can only be performed on int values and its result is an int,It can only be performed on float or double values and its result is an int,It can only be performed on float or double values and its result is a double,"It can be performed on any numeric values, and the result always is numeric",5,ChoiceE,Moderate,
"Which of the following statement is NOT correct?	",Arithmetics,"In a class, you can have a method with the same name as the constructor.","In a class, you can have two methods with the same name and return type, but different number and type of input arguments.","In a class, you can have two methods with the same number and type of input arguments and different return type.",In a class you can have two constructors with the same name.,None of the above.,5,ChoiceC,Easy,
"Consider the following code segment. Which of the following statements best describes the conditions need for temp to be true?
 boolean temp = false; 
for (int i = 0; i < a.length ; i++) {
 temp = (a[i] == val); 
} 
return temp;",Arrays,whenever the first element in a is equal to val,Whenever a contains any element which equals val,Whenever the last element in a is equal to val,Whenever more than 1 element in a is equal to val,Whenever exactly 1 element in a is equal to val,5,ChoiceC,Difficult,
"Given the following values of a and the method doubleLast what will the values of a be after you execute: doubleLast()? 
private int[ ] a = {-10, -5, 1, 4, 8, 30}; 
public void doubleLast() { 
for (int i = a.length / 2; i < a.length; i++) { 
a[i] = a[i] * 2; 
} 
}",Arrays,"{-20, -10, 2, 8, 16, 60}","{-20, -10, 2, 4, 8, 30}","{-10, -5, 1, 8, 16, 60}","{-10, -5, 1, 4, 8, 30}",None of the menotioned,5,ChoiceC,Moderate,
"In Java, arrays are",Arrays,objects,object references,primitive data type,methods,None of the menotioned,5,ChoiceA,Easy,
"int[] a = {5,6,7,8,9}; int[] b = a; b[2] = 10; What will be the value of a[2]?",Arrays,6,7,8,9,10,5,ChoiceE,Easy,
"What is the output for the following code?
int[] int_array = { 2,4,6,8,10};
for (int i=0; i < int_array.length; i++){ 
System.out.print( int_array[i] );
}",Arrays,1234,246810,0 \n 1 \n 2 \n 3 \n 4,Compilation error.,None of the mentioned,5,ChoiceB,Easy,
"What is the output of this program? 
class evaluate { 
public static void main(String args[]) { 
int arr[] = new int[] {0 , 1, 2, 3, 4, 5, 6, 7, 8, 9}; 
int n = 6; 
n = arr[arr[n] / 2]; 
System.out.println(arr[n] / 2); 
}
}",Arrays,3,0,6,1,Compilation error,5,ChoiceD,Difficult,
"What is the result of compiling and running the following code? public class Test{
public static void main(String[] args){ 
int[] a = new int[0]; 
System.out.print(a.length); 
} 
}",Arrays,0,"Compilation error, arrays cannot be initialized to zero size.","Compilation error, it is a.length() not a.length",1,None of the above.,5,ChoiceA,Easy,
"What is the value of i after the following code has executed?
int[] x = {2, 1, 4, 5, 7}; 
int limit = 3; 
int i = 0; 
int sum = 0; 
while ((sum < limit) && (i < x.length)) { 
  i++; sum = sum + x[i];
 }",Arrays,0,1,2,3,4,5,ChoiceC,Moderate,
"What value for X will print all members of array ""values"" in the following code? 
int values[] = {1,2,3,4,5,6,7,8}; 
for(int i=0;i< X; i++) 
System.out.println(values[i]); ",Arrays,7,8,9,"None, since there is a syntax error in the array declaration","None, because the first value is never printed",5,ChoiceA,Moderate,
"What will be printed using following code block? int[] a = {0,1,2,3,4,5,6,7}; System.out.println(a.length);",Arrays,6,7,8,9,None of the menotioned,5,ChoiceC,Easy,
